ZIP_CODE,ZIP_CLUSTER
57731,7
74371,6
90532,5
23170,19
80281,10
24441,4
66334,0
15152,8
31140,18
79015,10
44139,11
31140,18
69238,13
67160,0
60353,17
23231,19
64561,0
35263,15
69275,13
17854,1
13338,8
59338,17
72468,6
14261,8
67010,0
21154,19
31173,18
18750,1
21759,19
21749,19
81432,2
42735,3
69335,13
76113,6
59342,17
64691,0
50332,14
70232,13
42443,3
41282,3
30292,18
43246,3
83432,2
79020,10
71394,13
26740,4
21152,19
70213,13
22639,19
31137,18
69634,13
16570,1
52170,14
73191,6
86433,16
78193,10
82062,2
79330,10
76164,6
47392,11
26392,4
43935,3
33195,15
64630,0
26375,4
16354,1
64692,0
83152,2
59145,17
12058,8
59230,17
41517,3
22221,19
61139,17
52332,14
65221,0
83176,2
61492,17
16865,1
69460,13
57193,7
93070,5
44241,11
57991,7
33176,15
82141,2
80285,10
74636,6
77142,10
60221,17
80425,10
71941,13
91691,5
18743,1
97342,12
98144,12
88040,16
70375,13
27155,4
29632,18
63239,0
80311,10
18235,1
70342,13
18157,1
34191,15
31333,18
58234,17
65350,0
56431,7
55464,7
83015,2
46251,11
90434,5
47194,11
80276,10
44339,11
65460,0
76430,6
59242,17
13235,8
65220,0
30257,18
13242,8
13641,8
73332,6
44252,11
21154,19
33531,15
82134,2
27740,4
14870,8
83013,2
50332,14
83693,2
92266,5
50454,14
24174,4
81021,2
77132,10
23591,19
46396,11
35255,15
53157,14
11529,8
42338,3
82530,2
85353,16
55446,7
93144,5
17838,1
68592,13
61133,17
89331,16
30248,18
16973,1
90431,5
24235,4
21558,19
95792,12
68534,13
80262,10
59151,17
73143,6
57263,7
84093,2
11864,8
51169,14
26133,4
94533,5
33377,15
31138,18
72597,6
17449,1
16859,1
70363,13
89395,16
46230,11
69293,13
90594,5
59840,17
71631,13
89595,5
82731,2
77070,10
37235,9
54191,7
72231,6
50637,14
43441,3
26362,4
13135,8
75642,6
26363,4
95435,12
24132,4
25658,4
59335,17
31441,18
98016,12
41651,3
59332,17
84293,2
35262,15
97344,12
91333,5
45731,11
45134,11
34335,15
28020,18
